id,pestle,titulo,autor,fuente,url,fecha_publicacion,fecha_captura,palabras_clave,alcance,horizonte,tipo_hallazgo,descripcion,como_cambia,stakeholders,efecto,impacto,probabilidad,plausibilidad,novedad,oportunidad_temporal,sombrero_mad_hatter,nivel_kuosa,futuros_integrales,foda,arquetipo_dator,cla,horizonte_ord,ambito
S11,Social,El discurso político reciente es señalado como factor que profundiza el divisionismo en la sociedad mexicana,Diversos columnistas,Reforma,https://www.reforma.com/clasismo-criminal-2026-07-31/op318218,2026-07-31,2026-08-17,"divisionismo, cultura estratégica, polarización, discurso político",México,Largo (6-10 años),Nuevo tema / problema,"El tono del discurso público es identificado como catalizador de divisionismo social, con implicaciones para la cohesión y la seguridad nacional a largo plazo.",Antes: la cohesión social se asumía relativamente estable. Después: el propio discurso oficial se convierte en variable de riesgo para la estabilidad interna.,"Sociedad civil mexicana, fuerzas armadas, cohesión del Estado",Crea nuevo escenario,2,3,3,3,3,Rojo,Driver push (Fuerzas entorno),Cultural,Amenaza,Colapso,Cosmovisiones,3,México
S12,Social,El desorden informativo generado por IA se perfila como fuerza sistémica capaz de desestabilizar instituciones y mercados,GlobeScan,Centre for International Governance and information,https://www.cigionline.org/articles/then-and-now-how-does-ai-electoral-interference-compare-in-2025/,2026-08-07,2026-08-17,"desinformación, deepfakes, IA generativa, riesgo reputacional",Global,Corto (1-3 años),Nueva tendencia,"La desinformación generada por IA se identifica como riesgo transversal, con exposición desigual según sector, afectando confianza institucional, mercados y comportamientos humanos.","Antes: la desinformación requería producción humana y era más fácil de rastrear. Después: se genera a escala, de forma verosímil y casi instantánea.","Empresas expuestas a reputación, procesos electorales, consumidores",Crea nuevo escenario,4,4,4,2,2,Negro,Wild (card),Comportamental,Amenaza,Transformación,Cosmovisiones,1,Global
S13,Social,El estatus de puerto seguro de Dubái es puesto a prueba tras los ataques de 2026,Reuters (redacción),Reuters,https://www.reuters.com/world/middle-east/how-dubais-safe-haven-status-is-being-put-test-2026-03-02/,2026-03-02,2026-08-17,"Dubái, Emiratos Árabes Unidos, percepción de riesgo, inversión inmobiliaria",Global,Mediano (3-6 años),Hecho actual,"Tras ataques regionales, inversionistas reconsideran su exposición en Dubái; las transacciones inmobiliarias caen y algunos capitales se reubican hacia Singapur o Hong Kong.",Antes: Dubái se percibía como refugio estable en una región volátil. Después: su modelo de desarrollo mismo queda en entredicho.,"Inversionistas internacionales, sector turismo y bienes raíces del Golfo",Crea nuevo escenario,1,2,4,4,4,Rojo,Señal débil,Comportamental,Amenaza,Transformación,Letanía,2,Global
S14,Tecnológico,México enfrenta un rezago estructural en ciberseguridad frente a incidentes de alta frecuencia y sofisticación,Diego Valverde / SILIKN,Mexico Business News,https://mexicobusiness.news/cybersecurity/news/2026-cybersecurity-gaps-expose-mexico-numerous-threats,,2026-08-17,"ciberseguridad, Pemex, banca, infraestructura crítica",México,Corto (1-3 años),Tendencia ya identificada,"Empresas estratégicas mexicanas han sufrido incidentes de ciberseguridad significativos, evidenciando una desconexión entre el marco regulatorio y la capacidad de respuesta.",Antes: la infraestructura crítica se protegía principalmente contra fallas físicas. Después: enfrenta un vector de ataque digital creciente y poco regulado.,"Pemex, sector bancario, gobierno federal, usuarios finales",Confirma escenario actual,5,4,5,1,1,Negro,Tendencia bloqueadora (contrafuerza),Sistémico,Debilidad,Colapso,Sistemas,1,México
S15,Tecnológico,Un indicador clave de la estrategia nacional de ciberseguridad de México permanece sin cambios entre 2020 y 2025,BID / OEA CICTE,"Informe de Ciberseguridad 2025, BID/OEA",https://publications.iadb.org/en/publications/english/viewer/2025-Cybersecurity-Report-Vulnerability-and-Maturity-Challenges-to-Bridging-the-Gaps-in-Latin-America-and-the-Caribbean.pdf,,2026-08-17,"estrategia nacional, ciberseguridad, BID, OEA, madurez institucional",México,Mediano (3-6 años),Nuevo tema / problema,Indicadores clave de estrategia y contenido de la política de ciberseguridad mexicana se han mantenido estancados durante cinco años consecutivos.,"Antes: se asumía una mejora gradual de capacidades. Después: el estancamiento institucional se vuelve visible frente a amenazas que sí evolucionan (ransomware, IA generativa).","Gobierno federal, sector financiero, empresas reguladas",Confirma escenario actual,3,4,4,3,2,Blanco,Tendencia bloqueadora (contrafuerza),Sistémico,Debilidad,Continuidad,Sistemas,2,México
S16,Tecnológico,La rivalidad tecnológica EE. UU.-China presiona a México a modificar cadenas de suministro en electrónica y semiconductores,Laura Herrera,The Logistics World,https://thelogisticsworld.com/planeacion-estrategica/perspectivas-del-nearshoring-2026-que-se-espera-a-nivel-global-y-para-mexico/,,2026-08-17,"semiconductores, nearshoring, rivalidad tecnológica, manufactura",México y el mundo,Largo (6-10 años),Nueva tendencia,El nearshoring hacia México entra en una fase de mayor escrutinio político y regulatorio marcada por la revisión del T-MEC y el endurecimiento de controles a China.,Antes: el nearshoring se veía como flujo lineal y garantizado. Después: depende de decisiones geopolíticas externas sobre semiconductores y controles de exportación.,"Industria electrónica y automotriz, empleo manufacturero calificado",Crea nuevo escenario,4,4,4,2,2,Amarillo,Tendencia bloqueadora (contrafuerza),Sistémico,Oportunidad,Transformación,Sistemas,3,México y el mundo
S17,Tecnológico,Se lanza un grupo de trabajo binacional específico para atender el ransomware en México,Institute for Security and Technology,Institute for Security and Technology,https://securityandtechnology.org/blog/mexico-rtf/,,2026-08-17,"ransomware, task force, PyME, ciberseguridad binacional",México,Corto (1-3 años),Evento potencial,La creación de un grupo de trabajo binacional contra el ransomware confirma que el problema ya rebasa la capacidad de respuesta individual de las empresas.,Antes: el ransomware se veía como riesgo de grandes corporativos. Después: se reconoce como amenaza transversal que exige cooperación institucional específica.,"PyMEs mexicanas, sector financiero, gobiernos de México y EE. UU.",Crea nuevo escenario,3,4,4,3,2,Amarillo,Tendencia bloqueadora (contrafuerza),Intencional,Oportunidad,Transformación,Sistemas,1,México
S18,Ambiental,"Un comité de expertos concluye que es viable evaluar fracking en cuencas de Coahuila, Nuevo León y Tamaulipas, y recomienda prohibirlo en Tampico-Misantla",La Jornada (redacción),La Jornada,https://www.jornada.com.mx/2026/08/07/economia/015n1eco,2026-08-07,2026-08-17,"fracking, Coahuila, Sheinbaum, gas natural, agua salada",México,Mediano (3-6 años),Evento potencial,"Un comité de 54 expertos comisionado por la Presidenta Sheinbaum recomienda condiciones para explorar fracking en el norte de México, contradiciendo un compromiso de campaña previo en contrario, y pide prohibirlo en otra cuenca por razones ambientales.","Antes: el fracking estaba descartado como política de Estado. Después: se evalúa bajo condiciones técnicas, con consulta pública pendiente y presión de ONG.","Comunidades del norte de México, Pemex, organizaciones ambientales",Crea nuevo escenario,2,3,4,3,3,Negro,Driver top-down (Cambio institucionalizado),Intencional,Amenaza,Sociedad disciplinada,Cosmovisiones,2,México
S19,Ambiental,"Más de 1,100 km² del área metropolitana de Monterrey perdieron capacidad de recarga de acuífero por la expansión urbana","Nuñez-Flores, Vázquez del Carmen, et al.","Water (MDPI), vol. 18(5)",https://doi.org/10.3390/w18050616,2026-03-04,2026-08-17,"Monterrey, acuífero, estrés hídrico, expansión urbana",México,Corto (1-3 años),Nueva información,"Un estudio académico documenta la pérdida de capacidad de recarga del acuífero de Monterrey por urbanización acelerada, sequía recurrente y disponibilidad limitada de agua superficial.",Antes: el crecimiento industrial de Monterrey se asumía compatible con el suministro de agua. Después: ambos compiten estructuralmente por el mismo recurso finito.,"Industria manufacturera de Nuevo León, PyMEs, población metropolitana",Confirma escenario actual,5,5,5,2,1,Blanco,Megatendencia/Tendencia,Sistémico,Amenaza,Colapso,Sistemas,1,México
S20,Ambiental,"NOAA pronostica una temporada de huracanes 2026 por debajo de lo normal, en un contexto de exposición aseguradora estructuralmente alta",NOAA,National Oceanic and Atmospheric Administration,https://www.noaa.gov/news-release/noaa-predicts-below-normal-2026-atlantic-hurricane-season,2026-05-21,2026-08-17,"huracanes, Florida, reaseguro, exposición climática",México y el mundo,Corto (1-3 años),Nueva tendencia,"Pese a un pronóstico moderado, huracanes recientes (Ian, Idalia, Helene, Milton) han generado pérdidas de decenas de miles de millones de dólares, evidenciando exposición aseguradora estructural.",Antes: un pronóstico moderado se asociaba con tranquilidad para el mercado asegurador. Después: la severidad por evento importa más que la cantidad de eventos.,"Aseguradoras y reaseguradoras, propietarios en Florida y el Caribe",Crea nuevo escenario,2,3,4,1,1,Blanco,Megatendencia/Tendencia,Sistémico,Amenaza,Colapso,Sistemas,1,México y el mundo
S21,Ambiental,Terremotos recientes en Venezuela y Colombia reactivan el debate científico sobre el riesgo sísmico en México,Arturo Engels,ADN40,https://www.adn40.mx/ciencia/2026-08-11/temblara-durante-septiembre-en-mexico-esto-dice-la-ciencia-tras-los-terremotos-en-venezuela-colombia-y-japon/,2026-08-11,2026-08-17,"sismos, brecha de Guerrero, riesgo sísmico, Atlas Nacional de Riesgos",México,Largo (6-10 años),Evento potencial,"Los sismos recientes reabrieron el debate sobre una posible conexión entre ellos. Sin embargo, la ciencia reafirma que no existe evidencia de relación alguna. El riesgo sísmico en México es constante debido a su propia ubicación geográfica, no a los terremotos registrados en otros países.",Antes: el riesgo sísmico en México se discutía en ciclos largos y poco visibles. Después: patrones regionales recientes lo vuelven a poner en la conversación pública a pesar de no existir evidencia científica de correlación,"Población de zonas de alto riesgo sísmico, Protección Civil, sector asegurador",Confirma escenario actual,5,2,3,2,3,Blanco,Señal débil,Cultural,Amenaza,Continuidad,Mitos,3,México
S22,Ambiental,El deshielo acelerado del Ártico abre nuevas rutas comerciales y aviva la competencia por recursos entre potencias,Upasana Dutta,Earth.Org,https://earth.org/governing-the-melting-arctic-geopolitical-tensions-and-legal-gaps/,2025-08-25,2026-08-17,"Ártico, deshielo, rutas comerciales, Rusia, gobernanza polar",Global,Largo (6-10 años),Nueva tendencia,"El calentamiento acelerado del Ártico abre una ruta comercial potencialmente complementaria a Suez, Panamá y Hormuz, en una región donde Rusia mantiene una ventaja naval clara.",Antes: el Ártico era territorio marginal para el comercio global. Después: se perfila como corredor estratégico disputado por potencias con capacidades muy desiguales.,"Rusia, China, Estados Unidos, naciones árticas, transporte marítimo global",Crea nuevo escenario,1,2,3,5,5,Verde,Señal débil,Sistémico,Oportunidad,Transformación,Sistemas,3,Global
S23,Legal,El desempeño reciente de la Suprema Corte de Justicia es señalado como fuente de incertidumbre para la confianza de inversionistas,Abel Barajas,Reforma,https://www.reforma.com/ven-incertidumbre-e-inseguridad-juridica-en-reforma-judicial/ar3210331,2026-05-25,2026-08-17,"reforma judicial, Suprema Corte, incertidumbre jurídica, inversión",México,Mediano (3-6 años),Tendencia ya identificada,La reforma judicial y el desempeño de la nueva Suprema Corte generan cuestionamientos sobre la certeza jurídica para resolver conflictos legales.,Antes: el sistema judicial se percibía como árbitro relativamente previsible. Después: su composición y criterios recientes generan dudas sobre esa previsibilidad.,"Inversionistas nacionales y extranjeros, despachos legales, poder judicial",Crea nuevo escenario,5,5,5,1,1,Negro,Driver top-down (Cambio institucionalizado),Sistémico,Amenaza,Colapso,Sistemas,2,México
S24,Legal,La inversión en telecomunicaciones cae 87.7% tras la extinción del IFT y la creación de la CRT,Expansión (redacción),Expansión,https://expansion.mx/empresas/2026/07/08/inversion-telecom-desploma-tras-extincion-ift-creacion-crt,2026-07-08,2026-08-17,"IFT, CRT, telecomunicaciones, inversión extranjera, órganos autónomos",México,Mediano (3-6 años),Hecho actual,"Tras la desaparición de un regulador autónomo y su reemplazo por un órgano dependiente del Ejecutivo, la inversión extranjera en telecomunicaciones cae de forma pronunciada.","Antes: el sector contaba con un árbitro técnico independiente. Después: la regulación depende jerárquicamente del Poder Ejecutivo, generando dudas sobre su autonomía.","Operadores de telecomunicaciones, inversionistas extranjeros, usuarios finales",Confirma escenario actual,4,5,5,1,1,Blanco,Tendencia bloqueadora (contrafuerza),Sistémico,Amenaza,Colapso,Sistemas,2,México
S25,Legal,Miles de millones de dólares en inversión minera permanecen detenidos por falta de autorizaciones gubernamentales,Forbes México (redacción),Forbes México,https://forbes.com.mx/mexico-tiene-11000-mdd-en-proyectos-mineros-frenados-por-falta-de-permiso/,2026-08-03,2026-08-17,"permisos mineros, carga regulatoria, inversión detenida",México,Mediano (3-6 años),Nueva información,"Proyectos mineros por miles de millones de dólares no logran avanzar por falta de autorizaciones, evidenciando fricción regulatoria estructural.",Antes: la inversión extranjera se veía frenada principalmente por decisión empresarial. Después: la fricción administrativa del propio Estado se vuelve el cuello de botella.,"Sector minero, gobiernos estatales, comunidades en zonas de extracción",Confirma escenario actual,3,4,4,2,1,Blanco,Tendencia bloqueadora (contrafuerza),Sistémico,Debilidad,Continuidad,Sistemas,2,México
S26,Legal,Expertos de la ONU advierten que ataques contra embarcaciones bajo la etiqueta de guerra al narcoterrorismo violan el derecho a la vida,Oficina del Alto Comisionado de la ONU para los Derechos Humanos,OHCHR / Naciones Unidas,https://www.ohchr.org/en/press-releases/2025/09/us-war-narco-terrorists-violates-right-life-warn-un-experts-after-deadly,2025-09-16,2026-08-17,"derecho internacional, soberanía, uso de la fuerza, narcoterrorismo",Global,Mediano (3-6 años),Hecho actual,"Expertos de la ONU señalan que el derecho internacional no permite el uso unilateral de la fuerza en el extranjero para combatir el narcotráfico, y que ataques letales contra embarcaciones podrían ser ilegales.",Antes: el combate al narcotráfico en aguas internacionales se enmarcaba en cooperación e interdicción. Después: se documentan ataques letales cuestionados como violación al derecho internacional.,"Gobiernos de la región, marina mercante, organismos de derechos humanos",Crea nuevo escenario,2,3,4,3,2,Negro,Driver top-down (Cambio institucionalizado),Sistémico,Amenaza,Colapso,Cosmovisiones,2,Global
S27,Tecnológico,La NASA acelera un reactor nuclear lunar para 2030 ante el riesgo de que China y Rusia declaren una zona de exclusión,The New York Times (redacción),"The New York Times, edición en español",https://www.nytimes.com/es/2025/08/05/espanol/ciencia-y-tecnologia/ee-uu-reactor-nuclear-luna.html,2025-08-05,2026-08-17,"Luna, reactor nuclear, NASA, zona de exclusión, Artemis, carrera espacial",Global,Mediano (3-6 años),Evento potencial,"La NASA recibió una directiva para acelerar la construcción de un reactor nuclear en la Luna para 2030, ante el riesgo de que China y Rusia, en alianza, lo hagan primero y declaren una zona de exclusión lunar.",Antes: la presencia lunar se regía por cooperación bajo los Acuerdos Artemis. Después: quien instale primero un reactor podría restringir unilateralmente el acceso a regiones estratégicas con agua helada y otros recursos.,"NASA, industria aeroespacial privada de EE. UU., China, Rusia, marco legal internacional del espacio",Crea nuevo escenario,1,2,4,5,5,Blanco,Señal débil,Intencional,Sin clasificar,Transformación,Letanía,2,Global
S28,Tecnológico,El Proyecto Colmena de la UNAM buscó posar cinco microrobots en la Luna dentro del programa Artemisa; el aterrizaje no se completó por una falla del cohete Peregrine,Agencia Espacial Mexicana / Gaceta UNAM,gob.mx (AEM),https://www.gob.mx/aem/prensa/alta-tecnologia-de-micro-robots-mexicanos-viajara-a-la-superficie-lunar-agencia-espacial-mexicana-354836?idiom=es,2024-01-06,2026-08-17,"Colmena, UNAM, AEM, Artemisa, base lunar, Hidalgo, SRE",México y el mundo,Largo (6-10 años),Evento potencial,"México, vía UNAM, AEM, SRE y el estado de Hidalgo, desarrolló los primeros microrobots latinoamericanos para exploración lunar; el vehículo de lanzamiento Peregrine sufrió una fuga de propulsor que impidió el alunizaje, pero el programa continúa con Colmena 2 y 3 antes de 2030, dentro de la membresía de México en los Acuerdos Artemisa.","Antes: la actividad espacial mexicana era marginal, sin proyección internacional propia. Después: México se posiciona como socio técnico de Artemisa con ambición declarada de una base lunar mexicana y colaboración con otras bases.","Agencia Espacial Mexicana, UNAM, sector aeroespacial nacional, política exterior mexicana",Crea nuevo escenario,1,2,3,4,4,Amarillo,Señal débil,Intencional,Oportunidad,Transformación,Letanía,3,México y el mundo
S29,Tecnológico,Investigadores chinos factorizan un entero RSA de 22 bits con una computadora cuántica de recocido; la cobertura mediática exageró el alcance real del logro,Gyana Swain,CSO Online,https://www.csoonline.com/article/3562701/chinese-researchers-break-rsa-encryption-with-a-quantum-computer.html,2024-10-14,2026-08-17,"criptografía poscuántica, RSA, computación cuántica, D-Wave, NIST",Global,Mediano (3-6 años),Nueva información,"Un equipo de la Universidad de Shanghái factorizó un entero RSA de apenas 22 bits usando una computadora cuántica de recocido D-Wave; la cobertura lo presentó como 'RSA roto', pero especialistas (HSToday, LiveScience) aclaran que está a una distancia computacional astronómica de amenazar claves RSA reales de 2048 bits. El NIST publicó en agosto de 2024 sus primeros estándares federales de criptografía poscuántica.","Antes: la migración a criptografía poscuántica se veía como proyecto de largo plazo sin urgencia. Después: aunque el titular fue exagerado, aceleró la conversación corporativa sobre inventariar y migrar algoritmos vulnerables antes de que la amenaza cuántica real llegue.","Áreas de TI y ciberseguridad, bancos, gobierno, cualquier organización dependiente de RSA/AES",Crea nuevo escenario,3,2,2,5,3,Negro,Señal débil,Sistémico,Amenaza,Continuidad,Letanía,2,Global
S30,Político,"Un estudio académico propone entender las operaciones de paz de la ONU en Haití y Timor-Leste como 'laboratorios socio-políticos', ante el agotamiento del modelo tradicional",Joel-Ángel Bravo-Anduaga y Luis-Mauricio Rodríguez-Salazar,"URVIO. Revista Latinoamericana de Estudios de Seguridad, núm. 42",https://doi.org/10.17141/urvio.42.2025.6447,2025-05-01,2026-08-17,"mantenimiento de la paz, ONU, Haití, Timor-Leste, misiones políticas especiales",Global,Largo (6-10 años),Nueva tendencia,"El estudio documenta un agotamiento del modelo clásico de operaciones de paz de la ONU y una tendencia hacia misiones políticas especiales de despliegue más limitado, que los autores proponen estructurar como laboratorios socio-políticos.","Antes: la ONU respondía a conflictos con misiones de paz robustas y de larga duración. Después: la tendencia se mueve hacia intervenciones más pequeñas, ágiles y experimentales, con menor huella institucional.","Naciones Unidas, países receptores de intervención, organizaciones humanitarias y de cooperación internacional",Crea nuevo escenario,1,2,3,4,4,Verde,Señal débil,Sistémico,Oportunidad,Transformación,Cosmovisiones,3,Global
S31,Económico,Analistas señalan claroscuros en el Plan México: ambición geopolítica frente a restricciones fiscales y dependencia del T-MEC,Forbes México (redacción),Forbes México,https://forbes.com.mx/analistas-observan-claroscuros-en-el-plan-mexico/,2025-01-23,2026-08-17,"Plan México, nearshoring, política industrial, déficit fiscal, T-MEC",México,Mediano (3-6 años),Nuevo plan / intención,"El Plan México busca atraer 277 mil millones de dólares en inversión y ubicar al país entre las diez economías más grandes, apoyado en la revisión del T-MEC y la sustitución de importaciones asiáticas; analistas advierten que las metas de contenido nacional, empleo e inversión chocan con una meta de déficit fiscal del 3.9% del PIB difícil de sostener.","Antes: la política industrial mexicana carecía de una narrativa geopolítica explícita frente a EE. UU. y China. Después: el Plan México se presenta como estrategia deliberada de 'blindaje' norteamericano, con la viabilidad fiscal como variable más incierta.","Sector exportador y manufacturero, inversionistas, Secretaría de Hacienda, PyMEs integradas a cadenas de valor",Confirma escenario actual,4,4,3,2,1,Negro,Driver top-down (Cambio institucionalizado),Intencional,Oportunidad,Transformación,Letanía,2,México
